NOMBRE,GRAD_Y,GRAD_X
"SUPERMERCADO SPAR VILLALBA HERVAS",28.46788472,-16.24806433
VIDABIO,28.46849122,-16.24864350
"BOUTIQUE DEL PAN EGO-LEN",28.42369281,-16.33341809
"CONFITERIA CHARLOTTE",28.46765899,-16.24894200
"DULCERIA NUEVA SUEVIA",28.46336699,-16.27126100
"HORNO DE PAN - LOS MAJUELOS",28.43774982,-16.31907370
"BOUTIQUE DEL PAN LA FAMILIA",28.42127776,-16.30156162
ARJE,28.46864438,-16.25455597
"PANADERIA 2 MOLINOS",28.46305699,-16.25211500
"HORNO DE PAN - LA RAMBLA",28.46945176,-16.25959323
"PASTELERIA EL ADERNO",28.46215933,-16.25026650
"PANADERIA ALTEZA",28.46651471,-16.25815913
"PANADERIA JUAN",28.46289899,-16.25237100
"PANADERIA PASTELERIA JUAN PEDRO",28.46277299,-16.25227200
"PANADERIA ALTEZA",28.46507867,-16.27079393
"PANADERIA PANARIA",28.46902165,-16.25117570
"PANADERIA PANICIEN",28.45176670,-16.28803534
"PANADERIA CHURRERIA LA SALUD",28.46878774,-16.27163773
"PASTELERIA CAMINITO",28.46490711,-16.27073450
"PANADERIA CIARA",28.43818784,-16.30927608
"PASTELES Y PAN LAS 8 ISLAS",28.46858199,-16.25178000
"HAPPY SWEET CAKES",28.43601407,-16.31975998
"TORRE LA PAZ",28.46829186,-16.26155260
"SANA TENTACION PANADERIA",28.46843473,-16.25338495
"PASTELERIA SOTO",28.46860576,-16.26339667
"PESCADERIA LA SALUD",28.46999037,-16.27174861
"PESCADERIA TONY E ISA",28.46287299,-16.25158100
"PESCADERIA MEDES",28.46871485,-16.26151921
"POLLERIA HACIENDA 3 HERMANOS",28.46274699,-16.25180500
"ESPECIAS EL MORITO",28.46297499,-16.25222500
"PRODUCTO ECOLOGICOS LA TAJEA",28.46322699,-16.25208200
"CABANA DEL TE",28.46838012,-16.25230171
"NATUR HOUSE",28.46862971,-16.25114361
"DESPENSA DEL CAMBULLON",28.46747576,-16.24817724
"AUTOSERVICIO QUINTERO",28.48505127,-16.26192964
"FRUTERIA PRIMAVERA DEL NORTE",28.44869748,-16.30498087
"SUPERMERCADO HIPERDINO",28.44797199,-16.29855400
"SUPERMERCADO FELIZ",28.45337991,-16.29903956
"SUPERMERCADO LIDL",28.45728578,-16.30226745
"SUPERMERCADO KOMO-KOMO CARDONAL",28.45297303,-16.30101796
"SUPERMERCADO MERCADONA",28.45327265,-16.29738222
"SUPERMERCADO OLI",28.44957342,-16.29667869
"SUPERMERCADO RADEVI",28.44932145,-16.30463906
"AUTOSERVICIO GRANADOS",28.46367599,-16.27277200
"AUTOSERVICIO EL TABLERO",28.42390100,-16.33368863
