NOMBRE,GRAD_Y,GRAD_X
"COCINAS BELICAR",28.46021201,-16.30046124
"BASE OUTLET",28.44469599,-16.30009700
"DISTRIBUIDORA ELECTRICA CANARIA",28.44538600,-16.27423926
"GRUPO ELECTRO STOCKS",28.44579382,-16.27372140
"BAZAR AMIGO CHINO",28.44876650,-16.27417020
"CHONG MEI YE BAZAR",28.47127399,-16.24944900
"CASI TODO A 150",28.47033799,-16.24996300
"BAZAR MAKY",28.46756199,-16.25501500
"BAZAR 1 X 2",28.46098299,-16.27202000
"BAZAR CHARI",28.44466799,-16.30002200
"ESTANCO CONCHITA",28.46818115,-16.26087072
EUROBAZAR,28.47070999,-16.24976000
MERCAPLAST,28.46278099,-16.25233500
"MR FANTASY",28.47077932,-16.25140433
KAOS,28.46752457,-16.25450938
KAOS,28.42663039,-16.30100338
"PATO KOSAS",28.46761099,-16.25998100
"CENTRO COMERCIAL DECATHLON",28.46140699,-16.30467700
"LEROY MERLIN",28.45813599,-16.30763100
"HERRERA ALONSO EUROMUEBLES",28.44335027,-16.28920939
ADIDAS,28.46802708,-16.25265742
MUSICANARIAS,28.45822151,-16.30122754
SIEPER,28.46065408,-16.30027055
"LA BOTICA DE LOS PERFUMES",28.45897699,-16.25581300
"CANARY WINE",28.46304199,-16.25170700
"CASA TRIPOLI",28.45416136,-16.26913726
"CASA TRIPOLI",28.45416136,-16.26913726
"COMERCIAL HISPANO BRASILENA",28.45422503,-16.26965259
"COMERCIAL HISPANO BRASILENA",28.45422503,-16.26965259
"MELCHOR HERNANDEZ CABRERA BTICINO",28.45407924,-16.26844202
SAMMIC,28.45392853,-16.26979129
SAMMIC,28.45402044,-16.27001185
"COCINAS 7 ISLAS",28.44607168,-16.27729587
"MON PETIT LEON",28.45858799,-16.25649000
"COMERCIAL PAPI",28.46275099,-16.25238400
"COMERCIAL SCRYMO",28.46453859,-16.26288025
"CONCEPCION MARTIN MARICHAL",28.46333499,-16.25212400
"VIMOR TENERIFE",28.44576089,-16.27740625
"CAROLAN TENERIFE",28.46045885,-16.29993332
"COCINAS BELICAR",28.45822151,-16.30122754
"BAZAR HOLA",28.44681952,-16.29443590
"BAZAR HOLA",28.44681127,-16.29426606
"CB HERMANOS FAJARDO",28.44724498,-16.29636509
"COMERCIAL ELECTRICA DE CANARIAS COELCA",28.44796585,-16.29694402
"EQUIPAMIENTOS HAMER",28.44727361,-16.29695100
TOPBIKE,28.44738173,-16.29396390
"COMERCIAL ELECTRICA DE CANARIAS COELCA",28.44387587,-16.28658008
NAHIE,28.46846899,-16.25334700
ELEGANCE-SWATCH,28.45675399,-16.25974900
"INSYTE INSTALACIONES",28.43864926,-16.28340368
"SUCESORES DE MIGUEL HERREROS",28.44408820,-16.27975357
"COMPRO ORO",28.46757699,-16.26125922
"ELECTRONICA INTEGRAL DE CANARIAS ELICA",28.45196053,-16.27429797
"ESTUDIO FOTOGRAFICO SOCAS",28.44429599,-16.30044400
CASITUYO.COM,28.45110960,-16.27332525
"BONNET SUMINISTROS Y MAQUINARIAS",28.45747275,-16.30049086
"AG Y ASOCIADOS IMPOCAN",28.44221340,-16.28377205
"AP PHOTO CANARIAS",28.44360044,-16.28510724
JUMASA,28.44306530,-16.28522767
